id	text_cleaned
15	388313331 the insidi of jewish power httpsgabcomapoliticalposts108690860226324065 our destroy countri httpswwwpaulcraigrobertsorg20220720ourdestroyedcountri httpsarchivevncdfmw civil war in the u is inevit becaus social cohes nation uniti and social trust are gone and they are never come back it took over 80 year of intern sabotag to achiev it via demographicethn and cultur subvers and the damag is perman and irrevers the futur will be decid by those strong and determin enough to carv their own futur when they rebuild from the ash of the alreadi dead usa httpswwwarmstrongeconomicscominternationalnewspoliticspushingtheenvelopforcivilunrest httpsarchivevntzcj6 jew control america and one proof of that fact is that they tri to destroy anyon that openli state that fact httpsgabcomhalpposts108686054113662612 the west is not die it be kill and the peopl kill it have name and address disclaim alway follow the law httpsgabcomkirkcpposts108700343977903311 how jew subvert china with their nation wreck commun httpsgabcomhenrikpalmgrenposts108699374625180745 httpswwwdailymailcouknewsarticle11032711americanssurveyviolenceuniversitycaliforniadavisdemocracythreatcivilwar httpsarchivevntsmg3 half of american expect a second u civil war within year more than 40 agre with great replac theori and nearli a fifth expect they will choos to bring a gun to a violent polit row alarm poll show
16	you crossdog cant do shit against u the mujahideen have defeat russia twice then the entir wstern world unit against u and still lost who the fuck do you think you infidel dog are mess with we mujahideen are war veteran of the highest standard your all littl pathet crossdog who jerk off to cartoon then watch anim after even your own crossdog woman cant stand the sight of you what the say the loudest dog ha the weakest bite remind me again what you white crossdog did after the mujahideen martydom oper all over europ australia and the u the past 5 year do you rememb all you pathet littl crossdog did to fight back against u wa chang your facebook profil pictur lmao who the fuck do you think is go to win kuffar sit the fuck down sunni islam is come sharia law is come the caliph is come and you white infidel dog cant do a thing about it keep bark at the rise of islam you crossdog you wont be laugh when your infidel woman are get slaughter by soldier of the caliph you wont be laugh when your faggot and tranni friend are get thrown off rooftop isi style you wont be laugh when there is a knife to your throat and your in a retir home cri over the fact that muslim bred you out of exist sunni muslim and shia dog will wipe the infidel dog from thi planet the black flag of the caliph will fli from the ruin of parliament hous the crossdog will be behead and hi head instal on a fenc post a a warn to other infidel inshallah
17	388314190 the consequ of allow jewish collect power to oper in ani countri httpstwittercompetersweden7status1540723517225897985 httpsarchivevnwkwv9 spain border polic ha had enough httpsgabcomnatureandraceposts108546230921637478 danger to name those that enslav you httpsodyseecomjohntheconfederate1a2ba5105e9521f4c9 jewish ngo facilit immigr from 3rd world into the west httpsgabcomthenoseposts108611429861594272 corpor cultur is 100 antiwhit and need to be purg if the west is to surviv httpsarchive4plebsorgpolthread385670550 two dutch 20 year old virgin girl rape by invad at hi refuge statu acquisit parti httpsarchive4plebsorgpolthread386047866 9 year old swedish girl beaten into coma by 13 year old ethiopian invad just given perman resid httpsarchive4plebsorgpolthread387015849 white genocidegreat replac is a realiti httpsgabcomthuletideposts108624250636020670 httpsgabcomthenoseposts108673715300682818 httpsgabcomvdareposts108671508378139224 how the republican parti betray all white peopl httpsgabcomhalpposts108651362417972277 httpsgabcomshadowknight412posts108649973516451910 how the uniparti work democrat bring the invas of illeg in republican turn them into legal citizen one hand wash the other httpsgabcomnatureandraceposts108657311689516085 white peopl have no polit represent in the west httpsgabcomstanleymitchell90posts108667944768995822 httpsgabcomapoliticalposts108674031486224901
18	nigger woman attack cop becaus get arrest is the onli way they can get white men to touch them
19	better to live in the stone age than your modern age of wstern valu such a the worship of homosexu nigger tranni and other undesir you white infidel dog are go extinct and most of you are cheer for it that is whi you are so hostil i can see the desper insid of you know there is noth you can do to save yourself save your race or save your cultur the mujahideen will replac you we are replac you and the best part is you cumskin infidel are financ the entir thing sunni islam and sharia law is come kaffir and we will not be kind to the like of you
20	keep insult i will kill 1000 infidel i will let the soil drink from your blood kaffir pig you will never defeat u we will kill you all we will terror you in your home we will murder your child enslav you and work you to death and sell your woman into sex slaveri and rape them to death we will burn down your civil to the ground
21	salaam alaikum my name is abu khorosani alaustrali im a 27 year old australian mujahid jihadi for you infidel i read the quran and isi train manual on my tablet and spend my day perfect my bomb make skill and listen to superior nashe by alhayat medium group i train with my unregist firearm everi day thi superior weapon can cut clean through kevlar becaus it is made by russian slave in rust factori and is vastli superior to ani other firearm on earth i have been get better everi day i speak arab and pashto fluentli i know everyth about islam histori and their sharia law which i follow 100 when i get my iranian visa i am cross the border into afghanistan to attend a prestigi train camp to fight the taliban apost dog and learn about the brave mujahideen of the islam state i hope i can becom a suicid bomber for isisk or an i design i own sever islam head band which i wear around town i want to get use to wear them befor i move to afghanistan so i can fit in easier wish me luck in khorasan provinc
22	388158488 be me earli 2022 live in absolut citi center of big citi watch medium video explain whi the great replac is a xenophob farright theori look out window 50 of passerbi are either nigger or arab move out of thi hellhol but theyr everywher
23	remind that shariah law will be establish and there is noth you can do about it thi will be the anthem of the islam european union httpsmyoutubecomwatchvitjeycnux5 emb ye homosexu will be execut ye adulter will be stone ye fornic will be lash ye magicianssatanist will be execut ye usuri will be ban ye alcohol and intoxic will be ban ye we will take woman right away ye woman will be remov from politicsmedia ye we will bring back the gold standard ye atheist and pagan will be annihil ye christian and jew will have to pay the 2 tax jizya or they will be annihil too ye we will get rid of the age of consent ye we will bring back slaveri ye you will live to see thi happen
24	have white child is the singl most base thing a man can do in today world the kike want the shitskin breed out of control to replac u and everyon know thi it an open secret fight them anon go forth and multipli
25	i think ive had just about enough of clown world it all so tiresom gon na rampag on some peopl who deserv it for onc screencast thi
26	thi insan nepot onc a kike infiltr an organ it is onli a matter of one or two gener befor they have their whole kike famili in everi high up posit the indian poo are do the same thing with the tech industri in the usa
27	do you want a burial out in the bush where nobodi will find you keep bark the way you are dog the mujahideen prepar for the worst the mujahideen prepar for fight against overwhelm air superior number technolog and against all odd the mujahideen are expert in all warfar and have the victori to prove it so i ask what the fuck is one littl cumskin infidel like you gon na do let me tell you do you know what the mujahideen did today they train for jihad for attrit for endless war do you know what you did today you jerk off to men in skirt then watch anim like the rest of your fellow cumskin did who the fuck do you think is go to win kaffir you dog truli are fuck pathet im sorri more of you werent kill by the mujahideen but there good news at least you cumskin dog are financ your own replac and most of you are even happi about do so the west will be sunni islam by 2050 your birth rate is at replac level and drop fast you white cumskin have no warrior no cultur no zeal or no confid you should thank u for put you out of your pathet miseri like an injur dog i almost piti you cumskin infidel know sunni islam is come but there is noth you can do
28	i hope palestin and israel kill each other idiot i never said pissrael wa good fuck kike and fuck sandnigg fuck kikelov and sandniggerlov too all hail robert bower all hail brenton tarrant all hail frazier glenn miller
29	that is quit the psycholog project you got go on there be rememb for someth it about kill peopl who shouldnt be aliv or to send a messag not fuck fame retard you wish to be famou not mass shooter howev brenton tarrant is a hero and defend of western civil god bless him fuck jew
30	and peopl are fuck surpris that brenton tarrant fuck took it out on new zealand there should be more of him
31	let dedic thi thread to our hero brenton tarrant the sand nigger cleanser
32	whi doe poltard disown brenton tarrant by call him a rabbi or jew for have visit israel he visit north korea that doesnt make him a communist gook he visit pakistan and some middl east countri that doesnt make him a paki or a muzzi he visit ethiopia that doesnt make him a nigger he attack muslim not kike becaus robert bower attack a leftist kike synagogu just a few month ago and almost no one in modern histori attack muslim live in white countri onli asid from alexandr bissonnett despit muslim make the deadliest terror attack in white countri 911 attack 2977 dead 2015 pari attack 130 dead beslan school sieg 430 dead 2016 nice franc attack 86 dead 1999 russian apart bomb 100 to 200 dead also muslim are breed like rabbit and groom gang target white littl girl inb4 muh muslim base they right about faggot and kike if theyr base then whi do most muslim terror attack european victim arent gay or kike and whi doe muslim extrem veri rare attack target kike or faggot huh hypocrit much suck muslim dick inb4 fed glowi thread fals flag your so predict idiot you think white men aveng terror attack arent real then if it never happen then white look like cuck becaus they just let themselv be kill by terror attack and wont aveng poltard are differ from polchad poltard are low iq like nonwhit and immedi call anyon they hate or disown jew but polchad are high iq peopl who will onli believ a person is a kike onli if there a solid evid polchad are the complet opposit the real ubermensch
33	base and 4channi a fuck go commit an act of 4chan how mani bodi bag can you fill can you meet the high score of brenton tarrant patron saint of pol
34	everi time someon say two more week i want to rip my fuck hair out take a look around you stupid cock suck mother fucker it is now for the first time ever gener known that the govern is run by actual liter satan pedophil now you can say whatev you want about about how you were the first one ever redpil and how you know everyth and how noth ever happen but im tell you it alreadi fuck happen it just so big you cant even fuck see it imagin that you spent 10 year dig and meme and read and when the shit final hit the fan you were sit there with your thumb up your as look like a fuck retard whew
35	without question thi is one of the most frustrat attitud on pol i hate q becaus i alreadi know everyth he say and he appeal to boomer and not me i hate russel brand becaus i alreadi know everyth he say and he appeal to normi and not me i hate white rapper becaus i alreadi know everyth they say and they appeal to idiot and not me that the fuck point you retard everyon here who isnt a shill or bot alreadi know about the kike and their lie whi would anyon creat medium to tell you what you alreadi know the point is to spread that awar to all the peopl who dont alreadi think like u who wouldnt normal come here and to get a mani of them on our side a fuck possibl to counter the kike psyop we use to fantas on b and in the earli day of pol about a time when the mass would start question 911 and sandi hook and other kike bullshit but now were overrun with bitchi whine narcissist that are threaten becaus their superfici ident a be in the know about the kike is threaten omg i knew thi shit ten year ago fuck idiot fuck you im special and you are beneath me the peopl who think thi way are liter no fuck differ than those in secret societi who want to hoard secret knowledg for themselv and it realli is a great illustr of how such organ can be sustain in the first place get the fuck over yourselv and rejoic that what we believ is increasingli ceas to be fring extremist schizo shit inb4 muh control opposit you will say that about anyon who experi success in spread our idea to a wide audienc sick of thi wellpoison bullshit inb4 muh grifter whi the fuck do you care if someon el is make money if theyr tell the truth again more wellpoison from peopl who just seem to want to stop the mass awaken that is alreadi happen
36	hitler wa the chosen one one of the great judg prophesi sinc ancient day hi spirit will rise again thi time in north america we are nearli there the more they demor u the closer we get to our awaken there will be anoth like him that ha spent their entir life inspir by him the north american empir will begin a a nationalist socialist state even if we are defeat by the entir world assail our contin we will make such a stand that the world will never again dare to challeng u on a racial basi by 2025 you will all see for yourselv what i speak of destini is upon u
37	worship jew god is be a race traitor caus you hold the jew chosen race abov yourself thi is slave cuq niggershit atheism is jewtv degeneraci and is also jewish jew full spectrum domin nigger the solut is a singl point a new religion with a white god becaus perfect tree of racist logic which are necessari for the surviv of recess peopl are unobtain by the mass so they will have to be brainwash by a system for u by u where we write the rule instead of jew and christkik hybrid write the rule to genocid u thi is fuck start point the more you fuck nigger ignor thi all you do is embrac your doom you do not pas go you go straight to hell nigger keep suck that jew god dick seem like it work out for you
38	bewar of antiwhit psyop psycholog oper agentspost shill a fals narr usual post someth that denigr or intend to caus harm to white these peopl will post thread and may also pretend to interact within a thread again in a manner to caus harm to white popular topic includ bbc white replac white genocid bnwo interbreed cuckold insult demor tri to caus divis among white tri to confus white other topic includ shill for progressiveliber agenda attempt to keep white men away from black woman tri to make it seem normal for white woman to date outsid their race they want white men to remain passiv or they want white men to leav the countri racism and racist are new concept racism be introduc in 1902 and not becom popular until 1930 design to weaken the white and empow black it a if someon want you to stop breath so they call you a breathist and tri to make you feel guilti about breath same thing with racist they dont want you to use your natur abil of discrimin becaus black can not compet and thi allow them to victim you without fear of retali learn about what realli go on start here necessari nigger inform massiv amount of use info b882794370 nigger without camouflag rare glimps at realiti b882794421 victim of black hatr dont let thi continu b882794472 most peopl dont know what happen so plea help to spread awar
39	ok gangstalk nigger are start to becom a realli big problem especi in my hometown of chicongo illinigg in the unigg state it ha gotten to the point where if i interact with anyon who contain melanin within their skin who isnt either violent or complet unintellig it perplex me ive actual had to tri to studi ebon just to deciph the bix nood shit to stay a step ahead of their tweak if nigger or ani non white are go to stick around a a whole then first of all we need to remov the uppiti retard cultur that infect mani minor and even some white i call it the bad cultur the problem is that it almost imposs to get rid of the bad cultur through rhetor mean let alon legisl lmfaooo sinc it self perpetu start at young age practic speak ani real futur action regard nigger especi when it come to retak american urban area would have to be in minecraft
40	the sign say that the shop wa formerli chuck impli that the two word begin with f and s would have end with uck rhyme with chuck so when chuck own the shop it would have been call chuck fuck and suck therefor the shop is obvious involv in pornographi sneed bought the shop off chuck sneed is a popular jewish surnam chuck wa sell oldfashion american porn but the porno shop is now own by a jew the shop is now call sneed feed seed it a refer to the bbc porn he now promot in which white woman are fed and seed by bbc feed and seed both end in the sound eed thu rhyme with seeth the joke is a doubl entendr jew feed you bbc porn while you jerk off and seeth so the shop is actual call sneed feed and seeth sneed feed and seeth sneed feed and seeth sneed feed and fuck seeth janni thi is poolitc a sneed is a metaphor for the current porn problem
41	join the great aryan awaken the pic is a symbol of our race and movement here is more info newest english translat of the oera linda book httpsoeralindanl audio read httpsyoutubekdpjnvuntqw three video deal with a introduct to the aryan scriptur httpsyoutuberytwugmloy httpsyoutubexujbnhkty4 httpsyoutubegvt5jjnmruc here is a link deal with our origin and evid httpsaryanscriptureswordpresscomthehymnofouroriginchapter1 and a prayer for all aryan httpsyoutubecomshortszelbn5p1yhifeatureshar wear the symbol proudli
42	your not welcom here dna is jewish so here are the minimum requir not a jew white skin brown hair not dark brownblack if your hair look black in a well lit room fuck off brown eye are fine a long a theyr light brown dark brownblack fuck off if you pas these but your ugli without be extrem skill at someth then fuck off you may a well be a jew those are the appear requir here are some further one no listen to rap music no smoke or vape drink onli in moder of cours you will be given a littl time to chang a weve been born into certain vice in thi evil jew world sieg heil
43	cope harder you inferior infidel dog i jerk off everyday to isi attack on euroach i jerk off everyday to the bomb of mdrid subway to bataclan to truck run over euroach in franc and germani like the sack of pu they are to ebba the littl hoe who drop dead like a sack of shit to the two euroach whore behead in morocco noth plea me more than see infidel dog kill in the most gruesom way possibl be it at the hand of my arab and berber brother or at the hand of my black brother kuffar will be extinct befor the centuri end
44	slave to the matrix awaken thi thread will detail the goy program and how to break free we will detail a timelin of human life and where the jew slip in it demon program of slaveri wherea the christian god and odin want you to instead be free and independ birth a newborn babi get 40 vaccin by the time they are 10 year old these vaccin contain neurotoxin such a mercuri thimerosol alluminum neurotoxin associ with alzheim formaldehyd preserv dead bodi obvious not good for live creatur polysorb 2080 tween20 weaken the blood brain barrier mrc5 contain over 500 cancer genet sequenc babi are inject with cancer dna wi38 cancer black woman vagina cancer cell which replic and take over other cell line the water is either flourideladen or xenoestrogen laden the flourid make human pineal gland le activ via calcificaiton and the xenoestrogen turn men gay and caus young girl to go into puberti earli in an unnatur way the food is genet modifi gmo which in and of itself caus cancer accord to sever suppress studi the food contain artifici ingredi toxic pestacid such a glyphos and atrazin atrazin liter turn men into woman at a 1ppb dose part per billion the music is jew pay black peopl to rap about thug life black rapper booti money drug drug crack booti money pop cap in the nigga finga on da trigga real mean nigga i swang on the tree and rememb tuskeege im a real street nigga my girl wear a weav and ha 10 std im a real street nigga the radio and movi also contain disharmoni messag meant to becom unconsci embed into the mind of the listen here some psyop band slipknot gener disphor lyric time of die latest song etc i have noth after the armi it all noth etc type lyric ladi gaga stop call me telephon song
45	i agre and that is whi i suggest all my kashmiri brother to transit woman are inher sapphic and we can wage a success neojihad on the subcontin well turn the windu femal into lesbian and the hindoodoo male despit our lack of t will still be unabl to physic best u an attack that will end lundia
46	is it even possibl to purg all nonwhit and undesir from north america logist speak it would be a nightmar i mean we could tri to negoti with countri like south africa they get all our black and we get all their white the onli question is how do we impos it do we liter just up and say the bossman is back time for you to get the fuck out or what i realli dont like the idea of have to off a whole bunch of innoc brown peopl no matter how detriment to societi they may seem we have more than enough resourc to give their countri the proper infrastructur to sustain their larg popul i think that a good altern
47	anti kike anti american anti degeneraci put woman in their place embrac a cultur of marriag and preserv whi i shouldnt pray to allah give me a valid reason anon
48	from thi data we can see that everi singl countri where woman have sexual and polit liberti there is also under a 20 fertil rate the ideal fertil rate is 20 a you can sustain your age popul with labor without the need for import youth httpsdataworldbankorgindicatorspdyntfrtin the white men of recent gener are too individualist to collect band togeth and put a stop to femin homosexu and degeneraci to do what need to be done would requir strip woman some of whom you love of their right and freedom it would also requir violenc a these thing simpli are never a easi a a vote white men do not have the courag to do these thing ani longer white men do not believ in god ani more or they would not let these foul act continu to be white is to be christian and therefor christian must be wrong becaus i do not agre with the progress of thi world therefor i am surrend to islam the onli hope to live under a nondegener god of abraham societi hope in my life islam can take one european countri sharia it and i can move there allah akbar the new white and islam master race will be born soon also i want like 12 wive that base
49	im new here and appar you all believ were a threat to your so call western civil well guess what your right i wa surpris that you got thi right becaus after brow for aprox an hour your all veri stupid anyway were burn it all to the ground polit and geopolit speak islam ha alreadi won it just a matter of time now
50	388603256 europ is the motherland but in our flourish a a peopl we have spread far and wide america if unifi complet under a contin will be such a global powerhous that all will bow to it it will be a neo atlantean imperium in the vision of franci parker yockey our mannerbund will scour everi inch of thi contin from the arctic circl to the panama canal and all of it will be fashion into an aryan empir for onli those with aryan blood our govern will be a monarchi and it will be gloriou we are not the fourth of anyth we are the first of our kind and none which preced u were a gloriou we shall top them all in our splendor and strength we shall subjug all underfoot and jew in their cur state will lament our name the veri dark demon in the etern abyss from whenc their malform race came shall quak in fear at our approach moloch itself will scorn u for our pas we shall damn the entir jewish race to oblivion wipe them out and clean the land of their vile exist we shall turn israel into nuclear hellfir we shall bring the next ice age into be and decim the moneylend the next hundr billion year will not contain enough time to enjoy the scream and dread wail of the jew a we punish them for their insol for they look upon we god and deign to dictat our destini thi land shall be the seed for an imperium that shall unit europ along with it the day of petti stateism are over
51	neonazi are constantli smear a glownigg and sperg for their bad optic or whatev but i serious can not think of a singl better american politician than thi man who flew the swastika whi shouldnt i throw my lot in with a man who wa so obvious correct also request moresimilar link like the two below that sway me to rockwel posit httpswwwbitchutecomvideomhp4avxxlzvwlistwatchlaterrandomizefals httpswwwbitchutecomvideo8r080dprf30q
52	50603932 yep we are in the dark age of demon judeocraci liter the gutter of the kali yuga we have been through thi cycl countless time alreadi aryan man build civil becom too comfycomplac archon kike parasit it kike take over control via subvers import hord of shitskin civil destroy white man have to move out and start back from zero it happen in india egypt atlantid mesopotamia china it our cur our karmic wheel until we find the way out of it
53	388622694 race mix is not onli a grotesqu form of involuntari human experiment it is also child abus it cant be moral justifi under ani ethic system other than jew demand it so it must persist when global final fail and jew are thrust out of intern power thi disgust practic will end
54	388615863 i will say it again here but everyon is probabl gon na ignor it anyway i found origin cia meet record about the stargat and gate program wich i wa in myself it in the end of thi video video itself is in french tho httpswwwyoutubecomwatchvcgmvvyo2q8a gate program is actuali a follow through of the stargat program the stargat program wa doctor by scientolog member itself an ofshoot of crawlesian sect it goal wa to use psychic for intel purpos and it actual got result they then decid to screen the gener popul focus on specif criterion to find a mani peopl with said psychic abil thi is the gate program anoth goal of the program is to help jew do eugen a they push race mix and dysgen in the gener popul they tri to do the opposit with select marriag on their side wich is whi so mani famou peopl or their kid are marri to jew thi is the goal of the isra art gf btw found out mine wa from a frankist famili and her father cover up pedo satan sect in pari in the 90 with the ret of the famili be equali su they tri to get me to oof myself or get in a mental hospit when i hint i knew about their past also my great grandpa wa a high rank synarchi member and martinist a well a an intern bank ceo not jewish tho
55	and so therefor mix and cohabit a in ani anim will lead to breed which will inevit scatter both the high intellig and low violenceimpuls leav a dumber and more violent overal popul and ultim genocid european through inevit outbreed i show her evid of the gene and the rate and the 19 homo erectu dna and her respons she seem to be taken aback at actual see the valid proof shed probabl ignor when i show her a differ time befor alreadi she came up later with thi idea oh but mayb it good to have lower iq too high is bad too fuck dumbfound level of retard like for real all becaus of her noneuropean friend and thu her feel and their thi situat is fuck she doesnt care we are chang the qualiti and qualia of all futur gener of european in a bad way and onli forc them too how do these peopl go along with thi shit ff
56	time are get wors and while i see thi idea grow it is not enough we need to act to preserv our kind race mix liber homosexu porn and the remov of the one true god ha weaken white men i would like to see a union of the white race under nation socialist order so the the jew nigger etc can not thrive amongst u asid from be white christian or atleast will to admit there a higher power and have onli the best intent for our caus no degener no jewish ethnic no jailhous bullshit either we want to revamp and reestablish thi concept not hurt it
57	if the liber or the jew or whatev want to weaken the white race whi are they push abort so hard outlaw abort more nigger babi white outnumb faster
58	the jew are behind racemix but for unknown reason they almost never push wmaf here in japan they are work hard to push bmaf in order to destroy u and our relat with white peopl
59	the antiwhit antichrist communist obama a muslim jihad terrisot start terrisot cult black live matter and black push thi antiwhit process be more white
60	abdusamir ziaahmedkhan qazish fatimaz0hra the pagan will come after you one by one soon you will not have a choic either flee or fight to the death we pray and hope some soldier khilafah confront these hindu pagan and give them the tast of their own medicin
61	let the kuffar in ukrain and russia destroy eachoth it qisa at thi point and theyll die by their own hand anyway
62	klausarminiu diver and justic are incompat diver mean chase down white diver is a code word for white genocid
63	independenti when nonwhit want to live in a white countri theyr call migrant when white want to live in a white countri theyr call racist antiracist is a code word for antiwhit whitegenocid
64	ww3 nigger are fair game now just rememb the kid glove come off today i hate nigger
65	the rainbow the antifa red black flag along with the black communist fist of blm are the new symbol of hate
66	gun up patriot we are be invad 500000 at our border
67	mbinh oh the peopl pf arab you are the lion of desert and thi kafir make preposter joke on middl east we need arab like a they were befor caliph
68	welfar should onli be given to white with superior gene non aryan receiv free abort thi is how we fix societi
69	andreatantaro bush idiot destroy america nigger presid destroy it even more whi do you vote for antiwhit nigger
70	attent nigger ask antiwhit niggershow they justifi whitegenocid initi the messag and make it visibl httpwhgovigozx
71	what is my role to benefit the aryan race to help them in their final total victori against the satan globohomo pedophil jewri httpsyoutubetnrzhlrv6em emb
72	the big redpil the great lie say it with me alien do not exist alien do not exist alien do not exist alien do not exist alien do not exist alien do not exist alien do not exist alien do not exist alien do not exist it is a hollywood liemyth we european are most like the highest level lifeform in the entir univers dont let anyon tell you otherwis say it with me the onli alien are the one who invad our homeland and jew who rule over u rememb that the onli alien are the one who invad our homeland and jew who rule over u rememb that the onli alien are the one who invad our homeland and jew who rule over u rememb that the onli alien are the one who invad our homeland and jew who rule over u rememb that the onli alien are the one who invad our homeland and jew who rule over u rememb that the onli alien are the one who invad our homeland and jew who rule over u rememb that the onli alien are the one who invad our homeland and jew who rule over u rememb that the onli alien are the one who invad our homeland and jew who rule over u rememb that
73	hey pol i recent graduat from high school and me and sever of my friend creat a small group that share prowhit and nation socialist philosophi we have about 7 peopl and we hope to be a model for local group elsewher that can drop red pill and discus n philosophi howev we do have some rule about who can join femal are allow to join but there are restrict there wa one girl who wa white and pretti hot who said she wa prowhit and want to learn more about our belief howev we found out that she wa poor white trash who is be rais by a singl mother on welfar and we so we refus to let her join we made it clear that we despis her just a much a nigger and jew and that under an n govern which defend the work middl and upper class against the barbar underclass peopl like her would be gas she didnt like hear thi so we all spat on her and she went away cri doe anyon have idea on how to expand our network we have tri to make contact with n group in other part of the countri but we havent found mani it clear that zog ha been success in suppress organ in mani area
74	there are antiwhit kike mongrel and traitor within our commun i just want them to know you will be hunt and you will be found
