,level,text
40,1 - Low,antiwhit tell white collect pride nation civil whole becaus person achiev thing you'r individu say thi would negat ani group collect pride across board longer take pride accomplish famili member children friend school mate cowork countri whole cheer countri world cup olymp cheer favorit sportsbal team celebr victori pride countri member thereof anyth whatsoev group exist onli individu say antiwhit revers thi logic tri justifi collect group pride jew nonwhit usual resort oppress narr ration doubl standard jew collect prais jewish nobel prize winner black collect attribut creat hip hop music antiwhit onc contradict tactic individu undermin white group pride assign collect group blameguilt white slaveri coloni etc one hand white onli individu can't group pride accomplish hand white collect respons transgress ancestor white appar onli collectiv tri make feel guilti unworthi posit group feel stigmat neg group feel institution thi one way antiwhit wage psycholog race war white
41,3 - High,black white unit parasit lasernazi
42,1 - Low,jew ha quota antisemit need fill maintain victim statu never want much also never want littl
43,2 - Mid,valkyri divis aryan freedom network' woman' branch great organ thi sisterhood aryan women bound togeth surviv peopl aryan sister join us today togeth achiev victori whitepowerorg aryanfreedomcom
44,1 - Low,realli matter they'r spiritu jew anyway almost everi singl one bought zionist slave jewish cronycapit
45,2 - Mid,patriotfront activist network 5 train northern utah
46,3 - High,thi fuck parasit jew goe poor woman' store new orlean look thing kvetch find figurin hitler hi grubbi littl hand start wring involuntarili anticip ruin goyim call demand hi feel satisfi gracious call hear beg befor went twitter beg enough satisfi hi jew need total capitul put blast thousand twitter follow look next white life possibl ruin disgust parasit
47,1 - Low,laser nazi
48,3 - High,foreign invad grab irish woman public irishman step defend nonwhit parasit tri fight irishman should'v hit right away reason let get readi thi wa better noth like peopl it' far short should'v done
49,3 - High,we'v find pretti good post twitter late
50,2 - Mid,activ club canada go anywher join brother get activ respect wild rose activ club repres one train meet white uniti everi opportun
51,2 - Mid,join activ club canada brotherhood click pin messag channel get vet get activ
52,2 - Mid,central ca cal activ club member came togeth particip 45lb plate challeng put forth activ club canada get involv let see
53,2 - Mid,nation actionorient worldview activ nationalist join local activ club
54,1 - Low,take commi trash
55,1 - Low,antiwhit media hit piec one activist defend deliv leaflet
56,2 - Mid,rose citi nationalist club member held demonstr oppos gender theori newberg oregon music die cast face nate
57,2 - Mid,islam state west africa wilayah success allah khilafah soldier attack posit murtadd nigerian polic town magumeri borno area 2 day ago use machin gun fire kill 2 member wound burn vehicl seiz anoth one ghanimah mujahidin return safe posit prais due allah ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
58,2 - Mid,photo report islam state west africa wilayah 📷 photo featur khilafah soldier attack posit murtadd nigerian polic town magumeri borno area ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
59,4 - Very High,rabbi jordan peterson cri omegl killemal
60,3 - High,𝙀𝙉𝘿 illuminati🔺❌ 𝗭𝗼𝗵𝗮𝗿 jewish mystic call kabbalah 𝗭𝗼𝗵𝗮𝗿 insinu certain urgenc sacrific goyim non jew israel must make 𝗦𝗮𝘁𝗮𝗻 sacrific made believ 𝗦𝗮𝘁𝗮𝗻 sacrific rabbi 𝗭𝗼𝗵𝗮𝗿 state thi occur ten rabbi kill second centuri ad zionist lucif satan luciferistheirgod goy goyim synagogueofsatan
61,1 - Low,rabbi kill goyim
62,1 - Low,jew make fun 911
63,1 - Low,> 📹 hol yo nigger hol yo nigger > 📹 ⚠️🛑attent members🛑⚠️ join📡🔊🛰️👇 ⚠️🛑attent members🛑⚠️ join📡🔊🛰️👇
64,4 - Very High,> 📹 find jew find jew > 📹 video
65,1 - Low,> 📹 unfortun work nigger unfortun work nigger > 📹 kyri irv hi recent comment alex jone also confirm thi clip secret societi occult exist kyri irv hi recent comment alex jone also confirm thi clip secret societi occult exist
66,1 - Low,nsc 131 confront invad enabl baymont wyndham hotel kingston massachusett gabcomnewengland131
67,3 - High,it' filthi jew way they'r go get golem back bag ape know aswel jew behind slaveri
68,1 - Low,end lgbt jewish rainbow pedophil movement🏳️‍🌈⃠🔯 protect children gender chang pedophil freak thi idea stem jewish communist work hard destroy human race
69,2 - Mid,jewish media traitor polit terror squad known ct polic continu lie australian public organis plan immin mass casualti event realiti opposit liar say commun white australian fed made minor land ancestor fought afraid say tribe train
70,2 - Mid,dirti commi use random slur ever happi lie commi theythem believ retard think dont lazili follow media wave disinform
71,1 - Low,sigma rule treat jew 18 1
72,1 - Low,goebbel call mass boycott jew
73,2 - Mid,📌 novemb holodomor remembr month dedic event 19th thi month rais awar genocid peopl face awar challeng today mani us awar true histori watch materi minimum get speed 12 day go befor event day 12 day spread much flyer abov possibl action creat futur
74,2 - Mid,new yorker continu statewid activ must unit peopl fight home onli option unaccept time join local wlm activist get involv today xiv 📣🍁don't forget join gab 🌲📣 join wlm ny chat contact begin vet process
75,2 - Mid,📍🇬🇧 somewher uk sent anonym user ⚡ get activ read manual found start sticker flier work way
76,2 - Mid,wlmusawisconsin 🩸🩸🩸 activist wisconson grab projectorspeak film defiant head small white town decid watch 🩸🩸🩸 take back street hv tmewhitelivesmatteroffici tmewlmusawisconsinchat
77,1 - Low,realli hate jew race mix us european
78,1 - Low,identifi jew name jew
79,1 - Low,black creat noth black built noth black low iq black selfish lowest low black countri enemi trust black ani nonwhit
80,1 - Low,peopl hide amongst us like parasit thi whi say it' import identifi jew
81,1 - Low,mani ten thousand third worlder come florida drive wage take good job white american citizen need whiteprid closetheboard americafirst
82,1 - Low,whitegenocid anoth hate doctor
83,1 - Low,onli white peopl concern one race want organis along racial line condemn call racism ultim condemn preserv white race whitegenocid antiwhit
84,1 - Low,whitegenocid replac real stop talk
85,1 - Low,whitegenocid hate real
86,1 - Low,adl' mission stop defam jewish peopl secur justic fair treatment mission includ justic fair treatment whi adl antiwhit eg regard white onli victim never victim
87,1 - Low,western govern corpor mainstreammedia church antiwhit want victim us children elderli
88,1 - Low,word divers inclus euphem mean discrimin white peopl especi white men antiwhit
89,1 - Low,antiwhit quit act tuff quit encourag whiteerasur quit claim neighborhood western civil quit antiwhit
90,1 - Low,yeah antiwhit tri run thi platform report stuff like insult themselv get away antiwhit standard bad westernkind certainli american patriot america western civil
91,1 - Low,yeah antiwhit digniti
92,1 - Low,jewish peopl say truli feel white peopl
93,4 - Very High,here' basic takeaway elect 2022 far jew win everi elect want thing chang time start vote bullet thenot kanyeisright
94,1 - Low,racist antisemit antiwhit slur fear call transphob also attack westernkind allow mutil sexual children antiwhit encourag antiwhit
95,1 - Low,drag white peopl problem jewish mob antiwhit antiwhit jew kany kanyewest ye trainer
96,1 - Low,ye defend becaus ha 100 reason antiwhit dont defend given enemi
97,1 - Low,black alway anti white racist
98,1 - Low,short littl convers bring deep seat racial hatr antiwhit point support brutal violenc white children white peopl wake mass day thank
99,1 - Low,antiwhit sicken adl control establish lose mind kany point verifi fact system antiwhit kill nation peopl care fact celebr
100,1 - Low,know antiwhit think thi get increasingli obviou easi wake white peopl realiti thi thi seriou long term consequ critic mass white peopl reach
101,1 - Low,kany right jew yeisright thenot
102,1 - Low,'white' offens term use woke dehuman individu accept diamond pearl 'person mix european heritag whose ancestor surviv poverti oppress genocid slaveri tyranni somehow manag build gold standard liberty'
103,1 - Low,kany right tho
104,1 - Low,antiwhit deni white genocid they'r perpetr
105,1 - Low,white get checkmark badg becaus refus intimid antiwhit posit power media film academia pharma gov agenc etc we'r proud white we'r proud whitewestern heritag hate white
106,1 - Low,true rascist antiwhit rascism
107,1 - Low,whi hitler realli hate jew 30million 66million russian murder communist jew thirti forti year period hitler knew germani wa next line get murder everyth we'v taught ha lie 6million jew never die holocaust made lie instead call victim player never victim brutal murder hundr million intellig peopl shift blame white european specif german devil rewrot histori still rule world today watch 👉 europa last battl documentari believ badli starv russian russian liter dig dead peopl graveyard eat
108,1 - Low,anti white traitor occupi level facet govern local council rife traitor parasit well vers univers taught marxist theori call complet destruct nation' heritag tradit cultur never stop push battl one inch thi anoth attempt destroy heritag nation say polit solut becaus institut complet overrun corrupt jew antiwhit traitor success tri chang infiltr institut solut instead metapolit found build institut power white power
109,1 - Low,nonwhit noth gain allianc white white noth gain allianc nonwhit nonwhit everyth gain allianc jew jew ensur taxenslav white pay nonwhit 'gimmedats' white noth offer nonwhit fact interest separ cost nonwhit nonwhit noth offer white exist territori threat continu exist can't divi land afterward utopian race unit jew thi delusion exist futur separ nonwhit jew giant plebian class mongrelis consum slowli eat away white gene pool redpil nonwhit jew random sideaffect produc content aim redpil white jew treat mission focu ani energi direct educ centralis train cultiv build parallel white social cultur physic econom spiritu infrastructur wast time effort 14 word
110,1 - Low,femin jewish invent led jew destroy famili bring forth jewish new world order🔯
111,1 - Low,imag post
112,1 - Low,captain america new world order featur isra superhero think thi stuff hear jew run hollywood crazi conspiraci theori way could true 🤔
113,3 - High,normal day subhuman nigger attack random white peopl train filthi monkey
114,1 - Low,nonwhit noth gain allianc white white noth gain allianc nonwhit nonwhit everyth gain allianc jew jew ensur taxenslav white pay nonwhit 'gimmedats' white noth offer nonwhit fact interest separ cost nonwhit nonwhit noth offer white exist territori threat continu exist can't divi land afterward utopian race unit jew thi delusion exist futur separ nonwhit jew giant plebian class mongrelis consum slowli eat away white gene pool redpil nonwhit jew random sideaffect produc content aim redpil white jew treat mission focu ani energi direct educ centralis train cultiv build parallel white social cultur physic econom spiritu infrastructur wast time effort 14 word
115,1 - Low,also antiwhit jewish shill main critic tr goober they'r xenophil main critic countri like china russia signific jewish influenc advanc new world order project i'v said numer time larg driven jewish ideolog religion occult i'v also said mani time jew obvious onli peopl involv thi globalist project basic ringlead tr retard want go unhing rant jew 247 like alreadi make sound like schizo point entrylevel fact jewish religion liter tell need take world via weapon moneylend becaus realiti fundament broken chosen god repair world enlighten goyim that' torahtalmudkabbalah 101 befor get realli crazi stuff
116,2 - Mid,new yorker continu statewid activ must unit peopl fight home onli option unaccept time join local wlm activist get involv today xiv 📣🍁don't forget join gab 🌲📣 join wlm ny chat contact begin vet process
117,2 - Mid,🩸🩸🩸 activist wisconson grab projectorspeak film defiant head small white town decid watch 🩸🩸🩸 take back street hv tmewhitelivesmatteroffici tmewlmusawisconsinchat
118,2 - Mid,⚪️ white live matter activist place prowhit materi throughout alberta 📌 hey elon it' okay ban adl
119,2 - Mid,adl power everi big tech compani world richest white man world richest black man entir govern repres 2 us popul big problem talk time start
120,2 - Mid,octob wa excit month us rock illinoi awhil seen lot great work new activist across state look forward see work new activist help us build network join chat get activ 14 activist manual watch defiant direct offici temporari wwwwlmilcom
121,2 - Mid,2 new activist within 7 day 🩸⚔🩸 must someth right spent even look wwwlittlefreelibraryorg librari see wa ani anti white materi found check read spread decent messag definit turn head replac stand you'r simpli way tmewhitelivesmatteroffici tmewlmusawisconsinchat
122,1 - Low,it' realli good idea refer radic antiwhit radic whitewellb advoc normal
123,1 - Low,antiwhit problem european set consist european peopl surpris
124,1 - Low,antiwhit care truth friend hatr white peopl faithbas like religion reeduc antiwhit like tri convinc muslim moham wa fals profit
125,1 - Low,onc white peopl becom minor constantli vote hostil nonwhit major vote open antiwhit polici call major suddenli year democraci work extrem well way back
126,1 - Low,jew openli admit jew run everi major institut america thenot kany kanyewest kanyewestisrightaboutthejew goyim zog
127,1 - Low,abov antiwhit countri rule antiwhit
128,1 - Low,jeremi hunt seek slash fund ukrainian refuge live uk famili slash fund dover invadersafghan flown still come hmmm upset bame link articl
129,1 - Low,divers mean chase white divers code word white genocid
130,1 - Low,divers white genocid potenti pick line that' overlook caucasian want sleep poc
131,1 - Low,polar bear endang stop white genocid
132,1 - Low,onli proof antiwhit resent know bound it' express see race one see 'superiority' white cultur willingli migrat stay west dream antiwhit genocid
133,4 - Very High,mcdonald woke realli nintendo go vote end thi white genocid
134,1 - Low,never known uk weak pathet run thi countri ff' need get rid woke anti white anti british pen pusherscivil servant get rid pro eu pro immigr pro wefglobalist puppet link articl
135,1 - Low,headlin read white girl wa racial target racial abus racial harass forcedmanipul unwant ‘white allyship suffer campaign antiwhit raciallyaggrav rape 100 asian men antiwhit racialtrauma traumavalid
136,1 - Low,think it' enough call enemi 'antiwhite' need power metaphor highlight anti white evil disgust forc
137,1 - Low,anti white rhetor come tv evil becom obviou day day media allow thi happen
138,1 - Low,dian abbott ha claim childrapist onli rape becaus strict asylum rule want drop investig rotherham abus ha vocal promot white genocid claim cost £30 hire polic offic black privileg let' away
139,1 - Low,white belong africa asia whi nonwhit white countri
140,1 - Low,imag post
141,1 - Low,u lost sauc nato un control ✡️🇮🇱 banker imf💰 come it' 2022 followthemoney 🏃💰 zïønïst 🇮🇱 banker 🏦🏧 kanyeisright control peopl bro it' hard wake 🇺🇸 media u call thi freepress 😂😂
142,2 - Mid,trucker protest givesendgo shut jewish system use counterterror legisl financi shut polit dissid turn slave youll noth youll happi ‘world jew econom forum
143,2 - Mid,govern say white supremaci greatest threat correct sens it' threat societi famili infrastructur it' direct threat corrupt politician seiz power thi nation onli threat money launder mass immigr sexual pervers evil mass white awaken unit effort end thi
144,2 - Mid,>stop white hate >school call polic thi whi i'm straight white power nazi call stop hate white peopl jew media jew polic forc jew academia jew govern treat problem scum pretend live democraci non violent polit action legal yet moment pro white advocaci jew charg make dumb goyim home think it' crime thi whi i'm conserv believ democraci becaus it' jewish system lie use publicli 'prowhite' 20152018 never full white power 3 year media lie state polit polic asio harrass realis defens statement prowhit get much state aggress offens statement white power good work anyon doe either see valhal
145,1 - Low,version histori white peopl evil solut white peopl must harm respons pleas stop harm us respons one harm hate yourselv give us everyth convers complet antiwhit
146,1 - Low,group ghost antiwhit race believ white peopl evil veri real veri much aliv everywher
147,1 - Low,machin learn algorithm use futur acceler whitegenocid
148,1 - Low,thi white genocid
149,1 - Low,jewish schumer admit goal loud onli truther call thi white genocid photo\link anoth tweet
150,1 - Low,divers code word white genocid
151,1 - Low,white peopl make 7 world' popul access white countri human right gif
152,1 - Low,3000 illeg immigr dump killarney ireland pop 10000 third popul islam invad
153,1 - Low,keep send illeg invad democrat sanctuari citi 🇺🇸💥
154,1 - Low,racist word ha brought england west knee liter figur need stop terrifi thi fals deceit anti white slur racist white racist object groom gang etc
155,1 - Low,accord antiwhit care futur nonwhit crusad human right care futur white peopl racism bigotri hatr
156,1 - Low,drink kool aid thi antiwhit propoganda masquerad journal brainwash us hate white peopl
157,1 - Low,white normi realis social media feminist push antiwhit they'r slowli say fuck thi i'm proud white 🤍👏🏻 thenot
158,4 - Very High,where` brenton tarrant need
159,1 - Low,thi jewish supremaci look like never let tell white supremaci
160,1 - Low,🆘 britain first' paul gold spot racist bu stop advert manchest racism ok it' direct white peopl
161,1 - Low,learnt channel devic ban i'm proud happen earli becaus mean i'm piss right peopl cri kike can't stop what' come everi day pass us wake patienc it' end amount censorship persecut help thi channel keep go kill imprison achiev victori care anymor we'r alreadi live openair prison sacrific great make peopl live paradis deserv
162,1 - Low,i'd like thank channel 7 great job promot us onc lie scum jew media reason job accur report stand fact fight preserv advanc white peopl thi countri prepar see us lot news becaus victori inevit there' noth stop kike spokesman cri want it' simpli truth abort jewish onli parasit peopl bring forth thi kind evil world lot kvetch jason steinberg notic call us liar becaus know can't ye queensland boy train hard see decemb
163,1 - Low,imag post
164,1 - Low,z zyklon ∞ ⧖ b v sieg heil 卐 four aryan truth 卍 suffer insepar exist ii crave root caus suffer iii suffer end end crave iv path end crave suffer ᛋ ahandfulofleavesorgdocumentswhat20the20buddha20taughtrahulapdf ᛋ buddhanetnetaudiolectureshtm ᛋ dharmatheserialrubooksvalpolarahulachemuuchilbuddahtml
165,1 - Low,big tech must prepar divers world quota need ensur thi also big tech anti semit notic jew disproportion power control big tech jew abov divers becaus holocaustnyyydd
166,1 - Low,brainwash believ dismantl western ideolog realiz thi know whi use word term undeni antiwhit becaus white peopl church valu famili made societi strong pursu freedom thi whi talk nobodi land blindli brainwash willingli go back servitud
167,1 - Low,jew easi troll tell tank come outsid kill run outsid scream joke even sweeter realiz fact curs god actual dead heycovid talk next month lucif laugh parent die littl hebrew
168,1 - Low,grow tumor head everi jewish man dead child insid womb everi jewish woman lucif blow race planet holocaust survivor thi time
169,1 - Low,you'r faggot jew everyon hate
170,4 - Very High,straight white men stand maga men readi take america back snowflak woke liber 🇺🇸💪 maga makeamericagreatagain makeamericastraightagain wlm letsgobrandon trump2024
171,1 - Low,masculin toxic lack conserv men hotter men white men stronger men straight men onli men libtard got noth whitelivesmatt makeamericagreatagain makeamericastraightagain letsgobrandon trump2024 🇺🇸
172,2 - Mid,⚪️ 🇵🇱 white live matter banner polish independ day march 💪🏻🤍❤💪🏻
173,1 - Low,take thi countri back 2 year nobodi stop maga2024 trumpismypresid gop saveamerica whiteamerica christianamerica whitelivesmatt maga
174,1 - Low,black attack white becom new normal european citi whitelivesmatt
175,1 - Low,fyi talmud judaism us gentil view subhuman creat god sole purpos exploit jews… henc pejor racist term ‘goyim imagin us christian held beliefs… would never hear end
176,1 - Low,remind jew commit genocid apartheid physic mental abus displac terror indigen palestinian bc religi belief tell ok they'r god chosen infal pure unworthi subhuman beast burden
177,4 - Very High,jew subhuman labortori ratskil jewshunt jew
178,1 - Low,jew ruin everyth touch
179,1 - Low,whitelivesmatt everi group fundament right homeland includ white peopl european descent stopwhitegenocid thegreatreplac whitegenocid wlm
180,1 - Low,stop whitegenocid
181,1 - Low,divers greatest strength antiwhit whitegenocid
182,1 - Low,fran timmerman declar war white peopl resist genocid deepli symbol organ call european union ha one it' found mission dissolut european whitegenocid europeanunion
183,1 - Low,white whitegenocid
184,1 - Low,replac replac whitegenocid
185,1 - Low,tv advert white peopl advert anymor perhap bame cheaper
186,4 - Very High,join follow britainfirst join demo fight back greatreset happen conserv push fast video illeg migrant greet britain first 'allahu akbar' migrant hotel folkeston link
187,2 - Mid,thi countri embarrass becaus anyth invas stokeontr britainfirst britainsupportsterror rishisunak
188,1 - Low,treacher idiot ngo ‘collect aid' ha rais £10000 purchas 1000 tent illeg immigr northern franc 🇫🇷😡britainfirst stevelawsreport
189,1 - Low,hotel staff fire countri small town villag mani distraught winter bill pay famili feed becaus govern say sack hotel take illeg migrant thi simpli crimin
190,1 - Low,sweden 🇸🇪 vote stop uncontrol mass immigr creat tidal wave crime violenc antiwhit racism rape destruct formerli peac swedish commun peoplepolitician take note stop illeg econom migrant invad uk 🇬🇧 migrationwatch
191,1 - Low,99 media hold anti white narr submit woke encourag cancel cultur campaign right censor onli make big deal illeg immigr migrant drown scummedia
192,1 - Low,bingo keep mind jew still tri pretend strateg maneuv diaspora jew isra jew 2 side coin intern jeweri yet diaspora jew make polit donat requir politician financ support israel 95 diaspora jew proisrael despit 80 vote left also keep mind rabbi diaspora assign isra rabbi israel think thi whi western politician address diaspora jew alway make point openli state support israel diaspora jew care israel western politician need prostrat befor israel order get money vote approv diaspora zionist jew control mass media also diaspora jew crimin crook pedophil alway welcom israel get indict host nation well diaspora jew 95 zionist traitor american jew polit israel 95 jew favor view israel… nachman shai american jewri part isra secur isra jew demand american jew serv israel battl word whole live netanyahu unawar camera 'america easili moved' jewish french policitian say jew stay franc guarante french state keep pander israel jew effect isra default ani jew claim isra citizenship ani time mean jew govern foreign agent
193,1 - Low,love redhead love anim love white race whiteprid thenot animeright
194,1 - Low,say everyth hate straight pride hate male pride hate white pride hate truth hate everyth want hate
195,2 - Mid,» patriot front' network 5 activ organ state utah wyom nw5 offer new member chanc amplifi voic strength nation travel new destin combat destruct peopl forg bond brotherhood likemind patriot
196,2 - Mid,white peopl put flyer call preserv advanc white peopl jew media polit polic melt cri nation televis part 2
197,2 - Mid,spread share risk work us stronger less risk individu face duti warrior fit strong defend peopl duti speak truth matter consequ may die blood live forev end thi oath
198,2 - Mid,melbourn eam boy took day work pay respect 11 11th 11th remembr day servic white men lost live fight white australia lest forget
199,2 - Mid,jewish media traitor polit terror squad known ct polic continu lie australian public organis plan immin mass casualti event realiti opposit liar say commun white australian fed made minor land ancestor fought afraid say tribe train
200,2 - Mid,imag post
201,2 - Mid,enemi work tirelessli prevent white men attain greatest sens purpos belong man could ever achiev see brother unit struggl engag metapolit war wish see peopl dead stake never high cannot offer easi life promis etern brotherhood fulfil legaci come engag thi war surviv highest degre sustain possibl join us
202,2 - Mid,🙏 let us make sure white martyr forgotten read stori get educ holodomor watch white must stand replac genocid 8th may 9am want get involv organ messag local channel launch today stay tune
203,2 - Mid,black friday sale get gun ammo
204,2 - Mid,respons jew dramat rise antisemit enforc accus hold far much power land want silenc free speech blame peac activist impend fals flag attack
205,2 - Mid,anyon interest join us effort nsf reach person direct vet chat onc vet chat 48 hour conduct voic chat admin know conduct variou form legal activ zero toler polici anyon engag ani type illeg activ zero toler anyon attempt invok illeg activ within group expect minimum monthli particip group activ expect member conduct themselv manner shine posit light race dure outsid group activ must live state florida prefer driver' licens reliabl transport may make except right peopl look forward hear ad valuabl member rapidli grow team hail victori ⚡️⚡️
206,1 - Low,real establish white dude earn 100k year use suburban power popul disproportion influenc elect maintain power use govern budget subsid lifestyl expens citi worker financiers… entir middl class lifestyl realli polit way say rich white lord built slaveri >> anonym id bzaiexeo 112022sun205302 no405311223▶>>405311493 >>405314956 halfway who' marionet
207,1 - Low,stage ua ru war white genocid see bigger pictur
208,1 - Low,adl anti whiteand black hate group
209,1 - Low,usa eu antiwhit prove wrong
210,1 - Low,dont forget it' govern elit jew caus thi race war either side put us togeth deceiv manipul everyon reason lot thought even thought
211,1 - Low,it' call sens humor fucktard jew hollywood nba pit us want us breed mix race keep race pure sound like anyon els histori
212,1 - Low,know you'r deprogram call racist doe feel like insult provok defens neg stori nazi make leap defens nation social third reich antiwhit whiteprid nowhiteguilt
213,1 - Low,white dad wa fine race mix befor learn black peopl jew
214,1 - Low,hancock gonna come jungl smell rose aint hitler fume around dure hi time eat cockroach say soz jew would'v sort
215,4 - Very High,word cracker deem slur white play game far long enough enough ani pride white citizen heed word care time fight back whiteprid
216,1 - Low,doubl standard anymor afraid say unit state jewish jewishsupremaci thenot
217,3 - High,jewish trick quickli must chang shape cockroach flee room
218,4 - Very High,must read salamu alaykum brother sister islam would like share someth thi ummah right whi creat purpos life forgot made us forget purpos life whi left lord chase thi dunya truli muslim dar al islam leaderkhalifa given bayah mujahideen whi call khawarij kuffar attack us day night plot us turn us away religion somewher ban salah somewher ban hijab dear ummah want overcom thi humili leav religion kuffar follow way muslim submit onli allah alon follow way nabi muhammad salallahu alayhi wassallam need strive kuffar order overcom humili built islam empir state islam youth must rise tawageet today religion ha bless us jihad busi go hand hand kuffar forgot kuffar enemi enemi deen enemi allah call enemi allah brother sister may allah guid us thi messag might long wake thi ummah rise everi evil taghut enemi us make themkuffar friend anyth make us among themselv may allah protect us allah guid us correct islam allah give victori islam muslim allah protect us make us steadfast give us patienc allah humili kuffar armi allah honor bless us state leader allah make us among muhaajireen mujahideen shuhada ya rabbilalamin la ilaha illa anta subhanaka inni kuntu min'nazzalimeen baqiyyah 🏴 bi iznillah
219,4 - Very High,jundullah pen salamu alaykum brother sister islam would like share someth thi ummah right whi creat purpos life forgot made us forget purpos life whi left lord chase thi dunya truli muslim dar al islam leaderkhalifa given bayah mujahideen whi call khawarij kuffar attack us day night plot us turn us away religion somewher ban salah somewher ban hijab dear ummah want overcom thi humili leav religion kuffar follow way muslim submit onli allah alon follow way nabi muhammad salallahu alayhi wassallam need strive kuffar order overcom humili built islam empir state islam youth must rise tawageet today religion ha bless us jihad busi go hand hand kuffar forgot kuffar enemi enemi deen enemi allah call enemi allah brother sister may allah guid us thi messag might long wake thi ummah rise everi evil taghut enemi us make themkuffar friend anyth make us among themselv may allah protect us allah guid us correct islam allah give victori islam muslim allah protect us make us steadfast give us patienc allah humili kuffar armi allah honor bless us state leader allah make us among muhaajireen mujahideen shuhada ya rabbilalamin la ilaha illa anta subhanaka inni kuntu min'nazzalimeen baqiyyah 🏴 bi iznillah
220,2 - Mid,jubath sniper baghdad kill 978 kuffar' around baghdad alfalujah al anbar provinceth sniper member mujahideen special oper unitbbc cnn never show thisbaqiyyahallahoakbar
